Row,z_1,z_2
bnd_pnt_1,8.99572224773162,16.7389064406028
bnd_pnt_2,8.68880822031231,16.8676364789604
bnd_pnt_3,8.61414100503099,16.8931554665908
bnd_pnt_4,7.39712319498871,16.9607108831848
bnd_pnt_5,2.50701149109214,17.0435187524692
bnd_pnt_6,1.41453568476598,16.9832465420017
bnd_pnt_7,-0.650230884358716,16.7474553018366
bnd_pnt_8,-1.58811610313494,16.5930815860577
bnd_pnt_9,-5.31471781755327,15.4544591413432
bnd_pnt_10,-6.27035668014209,15.0490230865859
bnd_pnt_11,-8.02212824293734,14.2322252513784
bnd_pnt_12,-18.9717308361175,9.06847148753954
bnd_pnt_13,-19.8116545608333,8.62989178780283
bnd_pnt_14,-21.3512183162617,6.0361542234
bnd_pnt_15,-22.1080324333809,4.53046143052257
bnd_pnt_16,-22.4684178502287,3.30541831476403
bnd_pnt_17,-22.7255009066178,2.27888610578088
bnd_pnt_18,-23.777439970515,-2.91354905936268
bnd_pnt_19,-23.868076071321,-5.3716989053204
bnd_pnt_20,-21.2669853356172,-11.4826438124926
bnd_pnt_21,-20.2004637171229,-13.164993859426
bnd_pnt_22,-18.5700866156817,-15.2537355101683
bnd_pnt_23,-16.8642685831777,-16.3616310950454
bnd_pnt_24,-12.1534053460537,-18.7922171703572
bnd_pnt_25,-11.8464913186344,-18.9209472087148
bnd_pnt_26,-11.7718241033531,-18.9464661963452
bnd_pnt_27,-10.5548062933108,-19.0140216129392
bnd_pnt_28,-5.66469458941426,-19.0968294822236
bnd_pnt_29,-4.57221878308811,-19.0365572717562
bnd_pnt_30,-2.50745221396341,-18.8007660315911
bnd_pnt_31,-1.56956699518718,-18.6463923158121
bnd_pnt_32,2.15703471923115,-17.5077698710977
bnd_pnt_33,3.11267358181996,-17.1023338163404
bnd_pnt_34,4.86444514461521,-16.2855359811328
bnd_pnt_35,15.8140477377954,-11.121782217294
bnd_pnt_36,16.6539714625112,-10.6832025175573
bnd_pnt_37,18.1935352179396,-8.08946495315444
bnd_pnt_38,18.9503493350588,-6.58377216027701
bnd_pnt_39,19.3107347519065,-5.35872904451848
bnd_pnt_40,19.5678178082957,-4.33219683553532
bnd_pnt_41,20.6197568721929,0.860238329608232
bnd_pnt_42,20.7103929729989,3.31838817556596
bnd_pnt_43,18.1093022372951,9.4293330827382
bnd_pnt_44,17.0427806188007,11.1116831296715
bnd_pnt_45,15.4124035173596,13.2004247804139
bnd_pnt_46,13.7065854848556,14.308320365291
bnd_pnt_47,8.99572224773162,16.7389064406028
